filename,text to play,options,description
scripts/rf2status/sounds/alerts/current.wav,Current
scripts/rf2status/sounds/alerts/esc.wav,Esc Temperature
scripts/rf2status/sounds/alerts/mcu.wav,MCU Temperature
scripts/rf2status/sounds/alerts/fuel.wav,Fuel
scripts/rf2status/sounds/alerts/headspeed.wav,Head Speed
scripts/rf2status/sounds/alerts/lowfuel.wav,Low Fuel
scripts/rf2status/sounds/alerts/lowvoltage.wav,Low Voltage
scripts/rf2status/sounds/alerts/lq.wav,Link Quality
scripts/rf2status/sounds/alerts/remaining.wav,remaining
scripts/rf2status/sounds/alerts/timer.wav,timer
scripts/rf2status/sounds/alerts/voltage.wav,voltage
scripts/rf2status/sounds/alerts/lowfuel.wav,Low Fuel
scripts/rf2status/sounds/gov/off.wav,Governor - Off
scripts/rf2status/sounds/gov/idle.wav,Governor - Idle
scripts/rf2status/sounds/gov/spoolup.wav,Governor - Spoolup
scripts/rf2status/sounds/gov/recovery.wav,Governor - Recovery
scripts/rf2status/sounds/gov/active.wav,Governor - Active
scripts/rf2status/sounds/gov/thr-off.wav,Governor - Throttle Off
scripts/rf2status/sounds/gov/lost-hs.wav,Governor - Lost Headspeed
scripts/rf2status/sounds/gov/autorot.wav,Governor - Auto Rotation
scripts/rf2status/sounds/gov/bailout.wav,Governor - Bailout
scripts/rf2status/sounds/gov/disabled.wav,Governor - Disabled
scripts/rf2status/sounds/gov/disarmed.wav,Governor - Disarmed
scripts/rf2status/sounds/gov/unknown.wav,Governor - Unknown
scripts/rf2status/sounds/adjfunc/pitch.wav,Pitch
scripts/rf2status/sounds/adjfunc/roll.wav,Roll
scripts/rf2status/sounds/adjfunc/yaw.wav,Roll
scripts/rf2status/sounds/adjfunc/rc.wav,RC
scripts/rf2status/sounds/adjfunc/rate.wav,Rate
scripts/rf2status/sounds/adjfunc/p.wav,P
scripts/rf2status/sounds/adjfunc/i.wav,I
scripts/rf2status/sounds/adjfunc/d.wav,D
scripts/rf2status/sounds/adjfunc/f.wav,F
scripts/rf2status/sounds/adjfunc/o.wav,O
scripts/rf2status/sounds/adjfunc/gain.wav,Gain
scripts/rf2status/sounds/adjfunc/cw.wav,CW
scripts/rf2status/sounds/adjfunc/ccw.wav,CCW
scripts/rf2status/sounds/adjfunc/cyclic.wav,Cyclic
scripts/rf2status/sounds/adjfunc/ff.wav,Feed Forward
scripts/rf2status/sounds/adjfunc/collective.wav,Collective
scripts/rf2status/sounds/adjfunc/dyn.wav,Dynamic
scripts/rf2status/sounds/adjfunc/decay.wav,Decay
scripts/rf2status/sounds/adjfunc/gyro.wav,Gyro
scripts/rf2status/sounds/adjfunc/cutoff.wav,Cut Off
scripts/rf2status/sounds/adjfunc/dterm.wav,d term
scripts/rf2status/sounds/adjfunc/rescue.wav,Rescue
scripts/rf2status/sounds/adjfunc/climb.wav,Climb
scripts/rf2status/sounds/adjfunc/collective.wav,Collective
scripts/rf2status/sounds/adjfunc/hover.wav,Hover
scripts/rf2status/sounds/adjfunc/alt.wav,Altitude
scripts/rf2status/sounds/adjfunc/angle.wav,Angle
scripts/rf2status/sounds/adjfunc/level.wav,Level
scripts/rf2status/sounds/adjfunc/horizon.wav,horizon
scripts/rf2status/sounds/adjfunc/acro.wav,Acro
scripts/rf2status/sounds/adjfunc/gov.wav,Governor
scripts/rf2status/sounds/adjfunc/crossc.wav,Cross Coupling
scripts/rf2status/sounds/events/active.wav,Active
scripts/rf2status/sounds/events/armed.wav,Armed
scripts/rf2status/sounds/events/autorot.wav,Auto rotaton
scripts/rf2status/sounds/events/bailout.wav,Bailout
scripts/rf2status/sounds/events/disabled.wav,Disabled
scripts/rf2status/sounds/events/disarmed.wav.Disarmed
scripts/rf2status/sounds/events/governor.wav,Governor
scripts/rf2status/sounds/events/idle.wav,Idle
scripts/rf2status/sounds/events/lost-hs.wav,Lost Headspeed
scripts/rf2status/sounds/events/off.wav,Off
scripts/rf2status/sounds/events/recovery.wav,Recovery
scripts/rf2status/sounds/events/spoolup.wav,Spoolup
scripts/rf2status/sounds/events/thr-active.wav,Throttle Active
scripts/rf2status/sounds/events/thr-hold.wav,Throttle Hold
scripts/rf2status/sounds/events/thr-off.wav,Throttle Off
scripts/rf2status/sounds/events/unknown.wav,Unknown
scripts/rf2status/sounds/switches/bbl-off.wav,Black Box Logging - Off
scripts/rf2status/sounds/switches/bbl-on.wav,Black Box Logging - On
scripts/rf2status/sounds/switches/idle-h.wav,Idle Speed - High!
scripts/rf2status/sounds/switches/idle-m.wav,Idle Speed - Medium!
scripts/rf2status/sounds/switches/idle-l.wav,Idle Speed - Low!
scripts/rf2status/sounds/switches/rates-h.wav,Rates - High!
scripts/rf2status/sounds/switches/rates-m.wav,Rates - Medium!
scripts/rf2status/sounds/switches/rates-l.wav,Rates - Low!
scripts/rf2status/sounds/switches/rescue-on.wav,Rescue Mode - On!
scripts/rf2status/sounds/switches/rescue-off.wav,Rescue Mode - Off!



